Order_ID,Product_ID,Date,Region,Sales_Volume,Unit_Price,Revenue
1001,P001,2025-01-05,North,10,19.99,199.90
1002,P002,2025-01-06,South,5,29.50,147.50
1003,P003,2025-01-07,East,20,9.99,199.80
1004,P001,2025-01-07,West,7,19.99,139.93
1005,P004,2025-01-08,North,12,24.99,299.88
1006,P002,2025-01-09,East,3,29.50,88.50
1007,P005,2025-01-10,South,15,14.99,224.85
1008,P003,2025-01-11,West,8,9.99,79.92
1009,P004,2025-01-12,North,6,24.99,149.94
1010,P001,2025-01-13,South,25,19.99,499.75
1011,P005,2025-01-14,East,9,14.99,134.91
1012,P002,2025-01-15,West,4,29.50,118.00
1013,P006,2025-01-16,North,30,4.99,149.70
1014,P006,2025-01-17,South,22,4.99,109.78
1015,P003,2025-01-18,East,11,9.99,109.89
1016,P004,2025-01-19,West,14,24.99,349.86
1017,P007,2025-01-20,North,2,199.99,399.98
1018,P007,2025-01-21,South,1,199.99,199.99
1019,P005,2025-01-22,East,18,14.99,269.82
1020,P001,2025-01-23,West,13,19.99,259.87
